Feature_type,Stage,Feature
sequence,BJ,SP_D_b1_minus_b2
sequence,BJ,SP_ND_b1_vs_b2
sequence,BJ,TX_asinh_b37
sequence,BJ,TX_asinh_b9
sequence,BJ,TX_asinh_b25
sequence,BJ,TX_asinh_b36
sequence,BJ,SP_RAW_b1
sequence,BJ,TX_asinh_b17
sequence,BJ,TX_asinh_b35
sequence,BJ,SP_ND_b1_vs_b4
sequence,BJ,TX_asinh_b34
sequence,BJ,SP_ND_b1_vs_b3
sequence,BJ,TX_asinh_b27
sequence,BJ,TX_asinh_b40
sequence,BJ,SP_ND_b1_vs_b5
sequence,BJ,SP_RAW_b3
sequence,BJ,SP_D_b1_minus_b3
sequence,BJ,SP_ND_b4_vs_b5
sequence,BJ,SP_D_b4_minus_b5
sequence,BJ,TX_asinh_b10
sequence,BJ,SP_D_b1_minus_b4
sequence,BJ,TX_asinh_b26
sequence,BJ,SP_ND_b3_vs_b4
sequence,BJ,SP_D_b2_minus_b5
sequence,GJ,SP_D_b4_minus_b5
sequence,GJ,SP_ND_b1_vs_b2
sequence,GJ,SP_ND_b2_vs_b3
sequence,GJ,SP_ND_b1_vs_b4
sequence,GJ,SP_ND_b4_vs_b5
sequence,GJ,SP_D_b2_minus_b5
sequence,GJ,SP_ND_b2_vs_b5
sequence,GJ,SP_D_b2_minus_b3
sequence,GJ,SP_R_b1_div_b3
sequence,GJ,SP_D_b1_minus_b2
sequence,GJ,SP_ND_b3_vs_b4
sequence,GJ,SP_D_b3_minus_b4
sequence,GJ,TX_asinh_b4
sequence,GJ,SP_D_b1_minus_b3
sequence,GJ,SP_RAW_b2
sequence,GJ,TX_asinh_b2
sequence,GJ,SP_ND_b3_vs_b5
sequence,GJ,SP_ND_b2_vs_b4
sequence,GJ,SP_ND_b1_vs_b5
sequence,GJ,SP_RAW_b3
sequence,GJ,TX_asinh_b3
sequence,GJ,SP_RAW_b1
sequence,GJ,TX_asinh_b1
sequence,RS,SP_R_b1_div_b3
sequence,RS,SP_R_b4_div_b5
sequence,RS,SP_D_b1_minus_b3
sequence,RS,SP_ND_b3_vs_b5
sequence,RS,SP_ND_b2_vs_b5
sequence,RS,SP_ND_b1_vs_b2
sequence,RS,SP_D_b1_minus_b2
sequence,RS,SP_RAW_b3
sequence,RS,TX_asinh_b3
sequence,RS,SP_D_b1_minus_b4
sequence,RS,SP_ND_b3_vs_b4
sequence,RS,SP_ND_b2_vs_b3
sequence,RS,TX_asinh_b4
sequence,RS,SP_RAW_b2
sequence,RS,TX_asinh_b2
sequence,RS,SP_ND_b1_vs_b5
sequence,RS,SP_ND_b2_vs_b4
sequence,RS,SP_D_b2_minus_b3
sequence,RS,SP_RAW_b1
sequence,RS,TX_asinh_b1
sequence,RS,SP_D_b4_minus_b5
sequence,RS,SP_RAW_b5
sequence,RS,TX_asinh_b5
sequence,RS,SP_D_b2_minus_b5
static,MT,MT_RS_minus_GJ__SP_R_b2_div_b3
static,MT,MT_RS_div_GJ__SP_R_b1_div_b3
static,MT,MT_RS_div_GJ__SP_ND_b2_vs_b3
static,MT,MT_ND_RS_vs_GJ__SP_ND_b2_vs_b3
static,MT,MT_RS_minus_GJ__SP_D_b1_minus_b3
static,MT,MT_RS_div_BJ__SP_D_b1_minus_b3
static,MT,MT_RS_minus_GJ__SP_R_b1_div_b3
static,MT,MT_RS_div_BJ__SP_RAW_b1
static,MT,MT_RS_div_BJ__SP_ND_b4_vs_b5
static,MT,MT_RS_div_BJ__SP_R_b4_div_b5
static,MT,MT_RS_minus_BJ__SP_RAW_b1
static,MT,MT_RS_minus_GJ__SP_R_b3_div_b5
static,MT,MT_RS_div_GJ__SP_D_b1_minus_b3
static,MT,MT_RS_div_BJ__SP_RAW_b3
static,MT,MT_RS_div_BJ__SP_R_b2_div_b5
static,MT,MT_RS_div_BJ__SP_RAW_b2
static,MT,MT_RS_div_GJ__SP_R_b3_div_b4
static,MT,MT_ND_RS_vs_GJ__SP_R_b3_div_b4
static,MT,MT_RS_minus_BJ__TX_asinh_b3
static,MT,MT_RS_minus_GJ__SP_RAW_b3
static,MT,MT_RS_minus_GJ__TX_logabs_b3
static,MT,MT_RS_div_GJ__SP_RAW_b3
static,MT,MT_RS_minus_GJ__SP_R_b3_div_b4
static,MT,MT_ND_RS_vs_BJ__SP_D_b1_minus_b3
static,MT,MT_GJ_minus_BJ__SP_R_b2_div_b3
static,MT,MT_RS_div_GJ__SP_R_b3_div_b5
static,MT,MT_ND_RS_vs_GJ__SP_R_b3_div_b5
static,MT,MT_ND_RS_vs_GJ__SP_ND_b1_vs_b3
static,MT,MT_RS_minus_BJ__SP_RAW_b3
static,MT,MT_RS_div_BJ__SP_R_b3_div_b5
static,MT,MT_GJ_minus_BJ__SP_D_b1_minus_b2
static,MT,MT_RS_div_GJ__SP_ND_b2_vs_b5
static,MT,MT_RS_minus_BJ__SP_R_b2_div_b3
static,MT,MT_ND_GJ_vs_BJ__SP_ND_b1_vs_b2
static,MT,MT_ND_RS_vs_GJ__SP_D_b1_minus_b3
static,MT,MT_GJ_minus_BJ__SP_RAW_b1
