Feature_type,Stage,Feature
sequence,BJ,SP_ND_b5_vs_b7
sequence,BJ,SP_ND_b5_vs_b6
sequence,BJ,SP_ND_b1_vs_b6
sequence,BJ,SP_ND_b8_vs_b10
sequence,BJ,SP_ND_b9_vs_b10
sequence,BJ,SP_ND_b4_vs_b7
sequence,BJ,SP_ND_b7_vs_b9
sequence,BJ,SP_ND_b1_vs_b8
sequence,BJ,SP_R_b5_div_b10
sequence,BJ,SP_ND_b2_vs_b6
sequence,BJ,SP_ND_b8_vs_b9
sequence,BJ,SP_ND_b4_vs_b9
sequence,BJ,SP_ND_b3_vs_b7
sequence,BJ,SP_ND_b2_vs_b8
sequence,BJ,SP_ND_b5_vs_b9
sequence,BJ,SP_ND_b2_vs_b4
sequence,BJ,SP_D_b5_minus_b9
sequence,BJ,SP_D_b2_minus_b4
sequence,BJ,SP_ND_b5_vs_b8
sequence,BJ,SP_ND_b2_vs_b10
sequence,BJ,SP_D_b2_minus_b10
sequence,BJ,TX_asinh_b43_WL
sequence,BJ,SP_ND_b7_vs_b8
sequence,BJ,TX_asinh_b16_WL
sequence,GJ1,TX_asinh_b21_WL
sequence,GJ1,TX_asinh_b69_WL
sequence,GJ1,TX_asinh_b45_WL
sequence,GJ1,TX_asinh_b25_WL
sequence,GJ1,TX_asinh_b20_WL
sequence,GJ1,TX_asinh_b29_WL
sequence,GJ1,TX_asinh_b13_WL
sequence,GJ1,TX_asinh_b77_WL
sequence,GJ1,TX_asinh_b17_WL
sequence,GJ1,TX_asinh_b68_WL
sequence,GJ1,TX_asinh_b44_WL
sequence,GJ1,TX_asinh_b5_WL
sequence,GJ1,TX_asinh_b12_WL
sequence,GJ1,TX_asinh_b28_WL
sequence,GJ1,TX_asinh_b43_WL
sequence,GJ1,TX_asinh_b4_WL
sequence,GJ1,TX_asinh_b9_WL
sequence,GJ1,SP_ND_b4_vs_b10
sequence,GJ1,TX_asinh_b27_WL
sequence,GJ1,TX_asinh_b34_WL
sequence,GJ1,TX_asinh_b41_WL
sequence,GJ1,TX_asinh_b26_WL
sequence,GJ1,TX_asinh_b19_WL
sequence,GJ1,TX_asinh_b75_WL
sequence,GJ2,TX_asinh_b21_WL
sequence,GJ2,TX_asinh_b20_WL
sequence,GJ2,TX_asinh_b17_WL
sequence,GJ2,TX_asinh_b69_WL
sequence,GJ2,TX_asinh_b5_WL
sequence,GJ2,SP_ND_b2_vs_b5
sequence,GJ2,TX_asinh_b29_WL
sequence,GJ2,TX_asinh_b1_WL
sequence,GJ2,TX_asinh_b25_WL
sequence,GJ2,TX_logabs_b45_WL
sequence,GJ2,TX_asinh_b4_WL
sequence,GJ2,TX_asinh_b28_WL
