Feature_type,Stage,Feature
sequence,BJ,TX_asinh_b73_WL
sequence,BJ,TX_asinh_b17_WL
sequence,BJ,TX_asinh_b33_WL
sequence,BJ,TX_asinh_b46_WL
sequence,BJ,TX_asinh_b60_WL
sequence,BJ,TX_asinh_b22_WL
sequence,BJ,TX_asinh_b61_WL
sequence,BJ,TX_asinh_b11_WL
sequence,BJ,TX_asinh_b64_WL
sequence,BJ,TX_asinh_b5_WL
sequence,BJ,TX_asinh_b4_WL
sequence,BJ,TX_asinh_b50_WL
sequence,BJ,TX_asinh_b70_WL
sequence,BJ,TX_asinh_b6_WL
sequence,BJ,TX_asinh_b35_WL
sequence,BJ,TX_asinh_b26_WL
sequence,BJ,TX_asinh_b75_WL
sequence,BJ,TX_asinh_b67_WL
sequence,BJ,TX_asinh_b27_WL
sequence,BJ,TX_asinh_b43_WL
sequence,BJ,TX_asinh_b19_WL
sequence,BJ,TX_asinh_b78_WL
sequence,BJ,TX_asinh_b59_WL
sequence,BJ,TX_asinh_b30_WL
sequence,GJ1,TX_asinh_b57_WL
sequence,GJ1,TX_asinh_b9_WL
sequence,GJ1,TX_asinh_b17_WL
sequence,GJ1,TX_asinh_b53_WL
sequence,GJ1,TX_asinh_b11_WL
sequence,GJ1,TX_asinh_b51_WL
sequence,GJ1,TX_asinh_b60_WL
sequence,GJ1,TX_asinh_b3_WL
sequence,GJ1,TX_asinh_b29_WL
sequence,GJ1,TX_asinh_b59_WL
sequence,GJ1,TX_asinh_b28_WL
sequence,GJ1,TX_asinh_b75_WL
sequence,GJ1,TX_asinh_b19_WL
sequence,GJ1,TX_asinh_b43_WL
sequence,GJ1,TX_asinh_b21_WL
sequence,GJ1,TX_asinh_b35_WL
sequence,GJ1,TX_asinh_b27_WL
sequence,GJ1,TX_asinh_b67_WL
sequence,GJ1,TX_asinh_b50_WL
sequence,GJ1,TX_asinh_b26_WL
sequence,GJ1,TX_asinh_b78_WL
sequence,GJ1,TX_asinh_b14_WL
sequence,GJ1,TX_asinh_b30_WL
